sim_time_s,sim_time_min,left_station,concourse,escalator_bottom,platform
0.0,0.000,0,37,0,45
15.0,0.250,4,36,3,40
30.0,0.500,13,32,1,37
45.0,0.750,19,26,2,36
60.0,1.000,21,29,2,31
75.0,1.250,27,27,2,27
90.0,1.500,31,26,1,25
105.0,1.750,32,29,2,20
120.0,2.000,39,25,0,19
135.0,2.250,43,21,1,18
150.0,2.500,44,23,2,14
165.0,2.750,49,23,1,10
180.0,3.000,51,21,1,10
195.0,3.250,53,19,0,11
210.0,3.500,57,15,0,11
225.0,3.750,59,14,1,9
240.0,4.000,62,14,0,7
255.0,4.250,63,14,1,5
270.0,4.500,63,15,0,5
285.0,4.750,65,13,1,4
300.0,5.000,69,11,0,3
315.0,5.250,70,11,0,2
330.0,5.500,70,11,0,2
345.0,5.750,75,5,1,2
360.0,6.000,75,5,0,3
375.0,6.250,76,4,0,3
390.0,6.500,76,4,0,3
405.0,6.750,76,4,0,3
420.0,7.000,76,4,0,3
435.0,7.250,76,4,0,3
450.0,7.500,76,5,0,2
465.0,7.750,76,5,0,2
480.0,8.000,76,5,0,2
495.0,8.250,76,5,0,2
510.0,8.500,76,4,0,3
525.0,8.750,76,4,0,3
540.0,9.000,76,4,0,3
555.0,9.250,76,4,0,3
570.0,9.500,76,4,0,3
585.0,9.750,76,4,0,3
600.0,10.000,76,4,0,3
615.0,10.250,76,4,0,3
630.0,10.500,76,4,0,3
645.0,10.750,76,5,0,2
660.0,11.000,76,5,0,2
675.0,11.250,76,5,0,2
690.0,11.500,76,5,0,2
705.0,11.750,76,5,0,2
720.0,12.000,76,5,0,2
735.0,12.250,76,5,0,2
750.0,12.500,76,5,0,2
765.0,12.750,77,4,0,2
780.0,13.000,77,4,0,2
795.0,13.250,77,4,0,2
810.0,13.500,77,4,0,2
825.0,13.750,77,4,0,2
840.0,14.000,77,4,0,2
855.0,14.250,77,4,0,2
870.0,14.500,77,4,0,2
885.0,14.750,77,4,0,2
900.0,14.999,77,4,0,2
