sim_time_s,sim_time_min,left_station,concourse,escalator_bottom,platform
0.0,0.000,0,24,0,29
15.0,0.250,3,20,3,27
30.0,0.500,3,24,0,26
45.0,0.750,3,20,1,29
60.0,1.000,3,20,0,30
75.0,1.250,7,16,1,29
90.0,1.500,10,15,1,27
105.0,1.750,13,14,0,26
120.0,1.999,14,14,1,24
