sim_time_s,sim_time_min,left_station,concourse,escalator_bottom,platform
0.0,0.000,0,37,0,45
15.0,0.250,3,37,0,42
30.0,0.500,4,35,0,43
45.0,0.750,4,28,7,43
60.0,1.000,5,22,5,49
75.0,1.250,5,22,5,50
90.0,1.500,5,25,2,50
105.0,1.750,5,24,3,50
120.0,2.000,6,23,0,52
135.0,2.250,6,22,0,53
150.0,2.500,6,22,0,53
165.0,2.750,6,18,2,55
180.0,3.000,6,19,1,55
195.0,3.250,7,18,1,56
210.0,3.500,7,19,2,54
225.0,3.750,8,21,0,53
240.0,4.000,8,19,3,52
255.0,4.250,8,19,3,52
270.0,4.500,8,21,1,52
285.0,4.750,8,21,0,53
300.0,5.000,8,19,3,52
315.0,5.250,8,20,1,53
330.0,5.500,8,21,0,53
345.0,5.750,8,20,1,53
360.0,6.000,8,18,4,52
375.0,6.250,8,18,1,55
390.0,6.500,8,18,1,55
405.0,6.750,8,19,3,52
420.0,7.000,9,24,0,50
435.0,7.250,9,21,2,51
450.0,7.500,9,22,1,51
465.0,7.750,9,23,1,50
480.0,8.000,9,23,1,50
495.0,8.250,9,23,1,50
510.0,8.500,10,22,2,49
525.0,8.750,10,20,0,53
540.0,9.000,10,19,1,53
555.0,9.250,10,21,1,51
570.0,9.500,10,20,1,52
585.0,9.750,10,21,3,49
600.0,10.000,10,26,0,47
615.0,10.250,10,24,2,47
630.0,10.500,10,20,2,51
645.0,10.750,10,22,1,50
660.0,11.000,10,23,0,50
675.0,11.250,10,23,0,50
690.0,11.500,10,23,1,49
705.0,11.750,10,23,1,49
720.0,12.000,10,22,2,49
735.0,12.250,10,20,4,49
750.0,12.500,10,20,1,52
765.0,12.750,10,19,3,51
780.0,13.000,10,21,1,51
795.0,13.250,10,22,2,49
810.0,13.500,10,23,1,49
825.0,13.750,10,25,3,45
840.0,14.000,12,25,3,44
855.0,14.250,13,22,1,48
870.0,14.500,14,20,4,46
885.0,14.750,14,23,1,46
900.0,14.999,14,22,0,48
