sim_time_s,sim_time_min,left_station,concourse,escalator_bottom,platform
0.0,0.000,0,24,0,31
15.0,0.250,3,20,2,29
30.0,0.500,4,22,0,29
45.0,0.750,6,19,2,28
60.0,1.000,9,18,1,27
75.0,1.250,15,16,0,24
90.0,1.500,20,12,1,22
105.0,1.750,21,11,1,22
120.0,1.999,23,14,3,15
