sim_time_s,sim_time_min,left_station,concourse,escalator_bottom,platform
0.0,0.000,0,24,0,31
15.0,0.250,10,20,1,24
30.0,0.500,10,24,0,21
45.0,0.750,14,22,1,18
60.0,1.000,25,12,0,18
75.0,1.250,28,11,0,16
90.0,1.500,31,13,0,11
105.0,1.750,32,13,2,8
120.0,1.999,34,13,1,7
