sim_time_s,sim_time_min,left_station,concourse,escalator_bottom,platform
0.0,0.000,0,24,0,29
15.0,0.250,2,22,1,28
30.0,0.500,4,23,1,25
45.0,0.750,6,22,3,22
60.0,1.000,12,17,0,24
75.0,1.250,18,15,2,18
90.0,1.500,21,16,2,14
105.0,1.750,26,14,2,11
120.0,1.999,27,17,0,9
