sim_time_s,sim_time_min,left_station,concourse,escalator_bottom,platform
0.0,0.000,0,37,0,45
15.0,0.250,3,37,0,42
30.0,0.500,9,32,0,41
45.0,0.750,12,27,2,41
60.0,1.000,16,27,3,36
75.0,1.250,20,26,3,33
90.0,1.500,22,25,2,33
105.0,1.750,22,30,1,29
120.0,2.000,24,29,4,25
135.0,2.250,28,29,2,23
150.0,2.500,29,29,0,24
165.0,2.750,31,26,2,23
180.0,3.000,37,27,1,17
195.0,3.250,41,25,1,15
210.0,3.500,43,25,1,13
225.0,3.750,46,25,0,11
240.0,4.000,49,22,3,8
255.0,4.250,52,25,0,5
270.0,4.500,55,24,1,2
285.0,4.750,56,20,1,5
300.0,5.000,60,15,1,6
315.0,5.250,62,13,1,6
330.0,5.500,63,13,0,6
345.0,5.750,64,12,0,6
360.0,6.000,65,11,2,4
375.0,6.250,65,13,1,3
390.0,6.500,68,11,0,3
405.0,6.750,68,9,1,4
420.0,7.000,69,8,0,5
435.0,7.250,70,6,2,4
450.0,7.500,72,6,0,4
465.0,7.750,72,7,0,3
480.0,8.000,72,7,0,3
495.0,8.250,73,6,1,2
510.0,8.500,73,6,0,3
525.0,8.750,73,7,0,2
540.0,9.000,73,7,0,2
555.0,9.250,74,6,0,2
570.0,9.500,76,4,0,2
585.0,9.750,76,4,0,2
600.0,10.000,77,3,0,2
615.0,10.250,77,3,0,2
630.0,10.500,77,3,0,2
645.0,10.750,77,3,0,2
660.0,11.000,77,3,0,2
675.0,11.250,77,3,0,2
690.0,11.500,77,3,0,2
705.0,11.750,77,3,0,2
720.0,12.000,77,3,0,2
735.0,12.250,77,3,0,2
750.0,12.500,77,3,0,2
765.0,12.750,77,3,0,2
780.0,13.000,77,3,0,2
795.0,13.250,77,3,0,2
810.0,13.500,77,3,0,2
825.0,13.750,77,3,0,2
840.0,14.000,77,3,0,2
855.0,14.250,77,3,0,2
870.0,14.500,77,3,0,2
885.0,14.750,77,3,0,2
900.0,14.999,77,3,0,2
